name,description,website,cause_area,address,city,contact_number,email,contact_person,,,,
Agency for Education of the Poor Rural Youth,Nan,http://www.aeprymym.org,"Agriculture (လယ္ယာစိုက္ပ်ိဳးေရး), Health (က်န္းမာေရး), Education (ပညာေရး), Livelihood (အသက္ေမြးမႈ), Infrastructure (အေျခခံ အေဆာက္အအံု), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Multi-Sectors, Food security (စားနပ္ရိကၡာဖူလံုေရး), Vocational training (အသက္ေမြးဝမ္းေက်ာင္း သင္တန္း)",Nan,Nation Wide (တစ္နိုင္ငံလံုးအတိုင္းအတာ),Nan,[email protected],"ဦးေဆာင္သူအမည္ : Kam Tung Thang @ Peter
ရာထူး : Managing Director
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : Kam Tung Thang @ Peter
ရာထူး : Managing Director
",,,,
Mangrove Services Network,Nan,Nan,"Multi-Sectors, Environment (သဘာဝပတ္ဝန္းက်င္)",Nan,Yangon (ရန္ကုန္),"
09-732-13356,09-731-52702
09-430-24157,09-493-18832",Nan,Nan,,,,
"Humen Right, Watch,(Dawei)",Nan,Nan,Human Rights (လူ ့အခြင့္အေရး),Nan,Nan,09-422191774,Nan,Nan,,,,
Our Future Initiative,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Peace (ျငိမ္းခ်မ္းေရး), Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း), Research /advocacy (သုေတသနနွင့္ စည္းရံုးလႈံ႕ေဆာ္ၿခင္း), Environment (သဘာဝပတ္ဝန္းက်င္), Food security (စားနပ္ရိကၡာဖူလံုေရး), Vocational training (အသက္ေမြးဝမ္းေက်ာင္း သင္တန္း), Youth empowerment (လူငယ္ထု စြမ္းရည္ျမွင့္တင္ျခင္း), Language school (ဘာသာစကား သင္တန္းေက်ာင္း), Livelihood (အသက္ေမြးမႈ), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Social and economic (လူမႈေရးနွင့္စီးပြားေရး), Social work (charity) (ပရဟိတ/လူမႈေရးလုပ္ငန္း), Human Rights (လူ ့အခြင့္အေရး), Income generation (ဝင္ေငြတိုးလုပ္ငန္းမ်ား), Multi-Sectors",Nan,Tanintharyi (တနသၤာရီ),Nan,"ofi,[email protected]","U Tin Ko Ko Oo
 
",,,,
Save The Earth (Local-0435),Nan,Nan,"Agriculture (လယ္ယာစိုက္ပ်ိဳးေရး), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Peace (ျငိမ္းခ်မ္းေရး), Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း), Disaster risk reduction (သဘာဝေဘးအႏၱရာယ္ ေလ်ာ့ပါးေရး), Environment (သဘာဝပတ္ဝန္းက်င္), Food security (စားနပ္ရိကၡာဖူလံုေရး), Gender (က်ားမေရးရာ), Vocational training (အသက္ေမြးဝမ္းေက်ာင္း သင္တန္း), WASH (ေရသန္ ့ရရွိေရး/ေရနွင့္ပတ္သက္ေသာ က်န္းမာေရး), Livelihood (အသက္ေမြးမႈ), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Education (ပညာေရး), Social work (charity) (ပရဟိတ/လူမႈေရးလုပ္ငန္း), Health (က်န္းမာေရး), Human Rights (လူ ့အခြင့္အေရး), Income generation (ဝင္ေငြတိုးလုပ္ငန္းမ်ား), Infrastructure (အေျခခံ အေဆာက္အအံု), Protection, Senior Citizens",Nan,"Nation Wide (တစ္နိုင္ငံလံုးအတိုင္းအတာ), Nay Pyi Daw (ေနျပည္ေတာ္), Yangon (ရန္ကုန္), Mandalay (မႏၲေလး), Magway (မေကြး), Northern Shan (ရွမ္းျပည္နယ္ေျမာက္ပိုင္း), Southern Shan (ရွမ္းျပည္နယ္ေတာင္ပိုင္း), Kayin (ကရင္), Mon (မြန္), Sagaing (စစ္ကိုင္း), Ayeyarwady (ဧရာဝတီ), Tanintharyi (တနသၤာရီ)",Nan,[email protected],"U Thein Aung
",,,,
Rakhine Coastal Region Conservation Association,Nan,Nan,Environment (သဘာဝပတ္ဝန္းက်င္),Nan,Yangon (ရန္ကုန္),"
09 73132658",Nan,Nan,,,,
Youth Development Centre,Nan,https://www.facebook.com/ydcmyanmar?ref=hl,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),Nan,[email protected],"ဦးေဆာင္သူအမည္ : Ko Ko Htike Aung
ရာထူး : Founder / Organizer
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : Ko Ko Htike Aung

ရာထူး : Founder / Organizer",,,,
Phileo Teaching Center,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),C/O 726108,Nan,Nan,,,,
Amara Foundation,Nan,Nan,"Health (က်န္းမာေရး), Education (ပညာေရး)",Nan,Yangon (ရန္ကုန္),"
663347, 652191, 09-4975902009
8601132, 09-73092036",Nan,"


",,,,
အင္ဒင္လူငယ္အဖြဲ ့,Nan,Nan,Environment (သဘာဝပတ္ဝန္းက်င္),Nan,Mon (မြန္),Nan,-,"ဦးေဆာင္သူအမည္ : -

ဆက္သြယ္ရန္ပုဂၢိဳလ္ : မဝင္

",,,,
က်ဴး-FOCUS,Nan,Nan,"Health (က်န္းမာေရး), Education (ပညာေရး), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Child Rights (  ကေလးသူငယ္အခြင့္အေရး), Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း), Multi-Sectors",Nan,Nan,09-421035164,Nan,Nan,,,,
Patauk Shwewar Monastic Primary School,Nan,Nan,Nan,Nan,Nan,Nan,Nan,"


",,,,
Marine Science Association Myanmar,Nan,Nan,Environment (သဘာဝပတ္ဝန္းက်င္),Nan,Yangon (ရန္ကုန္),"513165, 095417527",Nan,Nan,,,,
Green Nature Group,Nan,Nan,Nan,Nan,Nan,Nan,Nan,"


",,,,
Yadana Beikman Parahita and Monastic Education School,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),650997,Nan,Nan,,,,
Helping Help for New Generation,Nan,Nan,Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း),Nan,Yangon (ရန္ကုန္),09 5068324,Nan,Nan,,,,
Need Eco Village Foundation - Myanmar,Nan,Nan,Education (ပညာေရး),Nan,Nan,"
09 425367225",Nan,Nan,,,,
Myat Min Khin,Nan,Nan,Education (ပညာေရး),Nan,Nan,"
09 47009957",Nan,Nan,,,,
Comprehensive Development Education Centre,Nan,Nan,Nan,Nan,Nan,Nan,Nan,"


",,,,
Pa-Oh Woman Education Foundation,Nan,Nan,Education (ပညာေရး),Nan,Northern Shan (ရွမ္းျပည္နယ္ေျမာက္ပိုင္း),"09-5210810, 081-201574, 081-202154",Nan,Nan,,,,
Myanmar Youths Capacity Building Network-MYCBN,Nan,Nan,"Multi-Sectors, Research /advocacy (သုေတသနနွင့္ စည္းရံုးလႈံ႕ေဆာ္ၿခင္း), Peace (ျငိမ္းခ်မ္းေရး)",Nan,Nation Wide (တစ္နိုင္ငံလံုးအတိုင္းအတာ),Nan,[email protected],"ဦးေဆာင္သူအမည္ : Aung Zin
ရာထူး : Founder & Chairman
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : Zaw Thet Htun

ရာထူး : Director",,,,
Tedim Baptist Convention,Nan,Nan,"Health (က်န္းမာေရး), Protection",Nan,Chin (ခ်င္း),070-50418(office),Nan,Nan,,,,
YaungChiThit,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Income generation (ဝင္ေငြတိုးလုပ္ငန္းမ်ား)",Nan,Rakhine (ရခုိင္),"09-49583337, 09-73213802",Nan,Nan,,,,
Myitta Wardhi Parahita Monastic Education School,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),"662976,09 513 7480",Nan,Nan,,,,
အလင္းအိမ္လူမႈဖြံ႕ၿဖိဳးေရးအသင္း,Nan,https://www.lrcmyanmar.org/mm/-,"Education (ပညာေရး), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Environment (သဘာဝပတ္ဝန္းက်င္), Gender (က်ားမေရးရာ)",Nan,Mon (မြန္),9449254260,[email protected],ဘုန္းျမတ္ဟန္ - ၀၉၄၄၉၂၅၄၂၆၀ႏွင္း၀တ္မႈံစိုး - ၀၉၂၅၅၇၉၁၉၆၃ၿငိမ္းခ်မ္းေရႊစင္ - ၀၉၇၉၀၆၄၁၇၆၈,,,,
Myanmar Japan Socio Economic Development Association,Nan,http://www.mmjpseda.org,Nan,Nan,Yangon (ရန္ကုန္),Nan,[email protected],"ဦးေဆာင္သူအမည္ : Dr Myint San
ရာထူး : Chairman
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : Ohn Mar Myint
Wai Me Thet
ရာထူး : Office Manager
",,,,
ေရႊေရာင္ႏွင္းဆီကင္ဆာေဖာင္ေဒးရွင္း,Nan,http://www.shweyaunghninsi-myanmarcf.org,"Child Rights (  ကေလးသူငယ္အခြင့္အေရး), Research /advocacy (သုေတသနနွင့္ စည္းရံုးလႈံ႕ေဆာ္ၿခင္း), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Education (ပညာေရး), Social work (charity) (ပရဟိတ/လူမႈေရးလုပ္ငန္း), Health (က်န္းမာေရး)",Nan,Yangon (ရန္ကုန္),Nan,[email protected],"ပါေမာကၡ ေဒၚရင္ရင္ထြန္း
 
",,,,
PEOPLE HOPE COMMUNITY DEVELOPMENT(PHCD),Nan,Nan,"Agriculture (လယ္ယာစိုက္ပ်ိဳးေရး), Health (က်န္းမာေရး), Education (ပညာေရး), Livelihood (အသက္ေမြးမႈ), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Income generation (ဝင္ေငြတိုးလုပ္ငန္းမ်ား), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း), Environment (သဘာဝပတ္ဝန္းက်င္), Food security (စားနပ္ရိကၡာဖူလံုေရး), WASH (ေရသန္ ့ရရွိေရး/ေရနွင့္ပတ္သက္ေသာ က်န္းမာေရး), Nutrition (အစာအဟာရ)",Nan,Chin (ခ်င္း),Nan,[email protected], [email protected],"ဦးေဆာင္သူအမည္ : U Jolly Aung
ရာထူး : Director
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : ဦးေဆာင္သူအမည္ : U Jolly Aung
ရာထူး : Director
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : U Lawngmon
ရာထူး : Program Officer

ရာထူး : Program Officer",,,
Zwe Ka Bin,Nan,Nan,Education (ပညာေရး),Nan,Nan,09 425040998,Nan,Nan,,,,
Myanmar Enhancement to Empower Tribals,Nan,Nan,"Infrastructure (အေျခခံ အေဆာက္အအံု), Food security (စားနပ္ရိကၡာဖူလံုေရး)",Nan,Yangon (ရန္ကုန္),"
0973092562",Nan,"


",,,,
Theik Khar Myanmar Institute,Nan,Nan,Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း),Nan,Yangon (ရန္ကုန္),09 421050957,Nan,Nan,,,,
Our Family Organization (OFO),Nan,https://www.lrcmyanmar.org/mm/-,Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း),Nan,Nation Wide (တစ္နိုင္ငံလံုးအတိုင္းအတာ),Nan,[email protected],"U Thura Naing Win
",,,,
ကလံုးထာဖြံ႕ျဖိဳးေရးေကာ္မတီ,Nan,Nan,Human Rights (လူ ့အခြင့္အေရး),Nan,Nan,"09-73215738, 09-49850266",Nan,Nan,,,,
Youth Mobile Knowledge Sharing Group,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),09-73216652,Nan,Nan,,,,
KT Care Foundation,Nan,Nan,"Education (ပညာေရး), Health (က်န္းမာေရး), Disaster risk reduction (သဘာဝေဘးအႏၱရာယ္ ေလ်ာ့ပါးေရး)",Nan,Yangon (ရန္ကုန္),"527516, 527521",Nan,Nan,,,,
Friends of Rainforests in Myanmar,Nan,Nan,Nan,Nan,Yangon (ရန္ကုန္),503671,Nan,Nan,,,,
Myanmar Agro Action (MAA),Nan,Nan,"Agriculture (လယ္ယာစိုက္ပ်ိဳးေရး), Environment (သဘာဝပတ္ဝန္းက်င္)",Nan,Yangon (ရန္ကုန္),09-5035668,Nan,"09-5035668
",,,,
Women For The World,Nan,Nan,"Multi-Sectors, Human Rights (လူ ့အခြင့္အေရး)",Nan,Nan,09-421117876,Nan,Nan,,,,
GOLD Myanmar,Nan,Nan,"Disaster risk reduction (သဘာဝေဘးအႏၱရာယ္ ေလ်ာ့ပါးေရး), Health (က်န္းမာေရး), Education (ပညာေရး), Environment (သဘာဝပတ္ဝန္းက်င္)",Nan,Yangon (ရန္ကုန္),09 73045940,Nan,"


",,,,
ၿမစ္မခသတင္းေအဂ်င္စီနွင့္ေရးေတာ္ဝင္(အခမဲ့)သတင္းလႊာ (ၿမစ္မခ),Nan,Nan,Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း),Nan,Nation Wide (တစ္နိုင္ငံလံုးအတိုင္းအတာ),01 501058,[email protected],ေဒၚေမသၾကၤန္သဟိန္,,,,
Hantar Foundation,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),01 516 641,Nan,Nan,,,,
Myin Thar Myo Oo Child Development Monastic Education School,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),"563351, 569 403, 09 504 5114",Nan,Nan,,,,
အြန္လိုင္းမိသားစု ပရဟိတလူငယ္မ်ားအဖြဲ႔,Nan,http://lrcmyanmar.org/en/-,"Child Rights (  ကေလးသူငယ္အခြင့္အေရး), Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း)",Nan,Yangon (ရန္ကုန္),Nan,www.ofomyanmar.org,"ဦးေဆာင္သူအမည္ : ဦးသူရႏိုင္၀င္း
ရာထူး : တည္ေထာင္သူ / ဥကၠဌ
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : ဦးသူရႏိုင္၀င္း ( 09420106742) [email protected]

ရာထူး : တည္ေထာင္သူ / ဥကၠဌ",,,,
Youth Social Force,Nan,http://www.ysfmyanmar.org,"Health (က်န္းမာေရး), Education (ပညာေရး), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Environment (သဘာဝပတ္ဝန္းက်င္)",Nan,"Yangon (ရန္ကုန္), Mandalay (မႏၲေလး)",Nan,"[email protected], [email protected]","Phyo Thura Htay
Chief Executive Director (YSF Yangon Head)
09785042236
 
Kay Thar Yu
Chief Executive Director (YSF Mandalay Branch)
09402532393
 
May Phyu Aye
Chief Executive Director (YSF Int'l Network)
+1 6035018127
 
Ye Lin Kyaw
Director of Extension Affairs (YSF Extension)
09256248758
 
Myo Min Thant
Taxila Institute of Youth Leadership & Development
09795415822, 09262973003
",,,,
Rainow Star LGBT Community Organization,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း), Gender (က်ားမေရးရာ), Youth empowerment (လူငယ္ထု စြမ္းရည္ျမွင့္တင္ျခင္း), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Human Rights (လူ ့အခြင့္အေရး), Others",Nan,Mon (မြန္),Nan,[email protected],"Nyan Linn Htet(Chair Man)
Ko Htike (Network)
Bhone Thway Ni (Finance)
",,,,
Kanpetlet Land Development Organization,Nan,Nan,"Agriculture (လယ္ယာစိုက္ပ်ိဳးေရး), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Child Rights (  ကေလးသူငယ္အခြင့္အေရး), Peace (ျငိမ္းခ်မ္းေရး), Environment (သဘာဝပတ္ဝန္းက်င္), Food security (စားနပ္ရိကၡာဖူလံုေရး), Livelihood (အသက္ေမြးမႈ), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Education (ပညာေရး), Human Rights (လူ ့အခြင့္အေရး), Infrastructure (အေျခခံ အေဆာက္အအံု)",Nan,Chin (ခ်င္း),Nan,ု[email protected],"Joseph Thang
Ph : 09260224190
",,,,
New Generation Social Development,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),"611290, 092302304",Nan,Nan,,,,
Myanmar Education Consortium,Nan,Nan,Education (ပညာေရး),Nan,Nan,Nan,Nan,Nan,,,,
Rhododedron Integrated Development,Nan,Nan,Education (ပညာေရး),Nan,Nan,"
09 442001986/ 09 400301220",Nan,Nan,,,,
Mingalar Zay Yon,Nan,Nan,Education (ပညာေရး),Nan,Nan,09 423716744,Nan,Nan,,,,
We women foundation,Nan,http://www.wewomenfoundation.org,"Education (ပညာေရး), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Gender (က်ားမေရးရာ), Research /advocacy (သုေတသနနွင့္ စည္းရံုးလႈံ႕ေဆာ္ၿခင္း)",Nan,"Yangon (ရန္ကုန္), Northern Shan (ရွမ္းျပည္နယ္ေျမာက္ပိုင္း), Mon (မြန္), Kachin (ကခ်င္)",Nan,"[email protected], ","Num Aye
",,,,
Nan Oo Education and Parahita School,Nan,Nan,"Education (ပညာေရး), Livelihood (အသက္ေမြးမႈ)",Nan,Yangon (ရန္ကုန္),"
09-73228687, 09 861 9156, 09 423699152, 653288",Nan,Nan,,,,
Phoo Ngon Pwint,Nan,Nan,Education (ပညာေရး),Nan,Nan,09 423707042,Nan,Nan,,,,
Rakkhita Conservation and Community Development Association,Nan,Nan,Environment (သဘာဝပတ္ဝန္းက်င္),Nan,Yangon (ရန္ကုန္),"0973132658, 095112307",Nan,Nan,,,,
Ge Bar Kayin,Nan,Nan,Education (ပညာေရး),Nan,Nan,"
054 25913/23503",Nan,Nan,,,,
Biodiversity And Nature Conservation Association,Nan,Nan,Nan,Nan,Yangon (ရန္ကုန္),667067,Nan,Nan,,,,
nayhtet,dev,web.com,", Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း)",de,"Ayeyarwady (ဧရာဝတီ), Bago (ပဲခူး)",921384780,[email protected],nayhtetsoe,,,,
Peaceable Muslim Youth,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),Nan,Nan,Nan,,,,
Green Memo,Nan,Nan,Environment (သဘာဝပတ္ဝန္းက်င္),Nan,Yangon (ရန္ကုန္),01 66 55 42,Nan,Nan,,,,
Thazin,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Resource Centre (အရင္းအျမစ္စင္တာ), Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း), Protection, Human Rights (လူ ့အခြင့္အေရး)",Nan,Rakhine (ရခုိင္),09-450062311,"[email protected], [email protected]","ဦးေဆာင္သူအမည္ : U Myo Myat Hein ( U Nyein Chan )
ရာထူး : Director
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : U Myo Myat Hein ( U Nyein Chan ) Lawyer

ရာထူး : Director",,,,
BRAVEHEART Foundation,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),"
010-345-0297,
09 448007035",Nan,Nan,,,,
Network Activities Group,Nan,Nan,"Livelihood (အသက္ေမြးမႈ), Infrastructure (အေျခခံ အေဆာက္အအံု)",Nan,Yangon (ရန္ကုန္),+095 01 382 036 / 372 252,Nan,Nan,,,,
Ar Yone Thit Myanmar Social Workers Association,Nan,Nan,"Education (ပညာေရး), Health (က်န္းမာေရး), Protection",Nan,Yangon (ရန္ကုန္),09 49230204,Nan,Nan,,,,
Asian Resource Foundation (Myanmar),Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),"564 732, 09 509 1808",Nan,Nan,,,,
Dawei Research Association,Nan,Nan,"Environment (သဘာဝပတ္ဝန္းက်င္), Social and economic (လူမႈေရးနွင့္စီးပြားေရး), Human Rights (လူ ့အခြင့္အေရး)",Nan,Nan,09-49852371,Nan,Nan,,,,
